"","month","day","year","hour","minute","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","latitude","longitude","unemployment_rate","percent"
"1","01","01","2010","02","57","brooklyn",77,"patrol",NA,FALSE,"unknown","unknown","unknown",40.669973913,-73.9351852569999,0.09,0.787
"2","01","01","2010","03","43","brooklyn",75,"patrol",NA,FALSE,"unknown","unknown","unknown",40.658627322,-73.892828026,0.09,0.787
"3","01","01","2010","03","45","queens",107,"patrol",NA,FALSE,"unknown","male","black",40.7210718540001,-73.759443236,0.09,0.806
"4","01","01","2010","04","08","bronx",48,"patrol",NA,FALSE,"unknown","male","white hispanic",40.8560328090001,-73.888448814,0.09,0.694
"5","01","01","2010","05","43","brooklyn",81,"patrol",NA,TRUE,"25-44","male","black",40.6890962040001,-73.92561654,0.09,0.787
"6","01","01","2010","06","55","brooklyn",67,"patrol",NA,FALSE,"unknown","unknown","unknown",40.6371657290001,-73.933669159,0.09,0.787
"7","01","01","2010","14","00","brooklyn",83,"patrol",NA,FALSE,"25-44","male","unknown",40.7066612140001,-73.921597885,0.09,0.787
"8","01","01","2010","14","30","bronx",42,"housing","multi dwell - public hous",FALSE,"unknown","male","black",40.8379526430001,-73.90633196,0.09,0.694
"9","01","02","2010","18","00","brooklyn",90,"patrol","grocery/bodega",TRUE,"45-64","male","white hispanic",40.707345108,-73.954780786,0.09,0.787
"10","01","02","2010","23","30","brooklyn",73,"patrol",NA,FALSE,"25-44","male","black",40.6592333630001,-73.9158854729999,0.09,0.787
"11","01","03","2010","05","16","bronx",47,"patrol","bar/night club",FALSE,"unknown","unknown","unknown",40.8714069380001,-73.8647389379999,0.09,0.694
"12","01","03","2010","18","10","brooklyn",66,"patrol","multi dwell - apt build",FALSE,"25-44","male","black",40.642147832,-73.9735904139999,0.09,0.787
"13","01","04","2010","19","10","brooklyn",60,"housing","multi dwell - public hous",FALSE,"25-44","male","black",40.591329251,-73.9827424919999,0.09,0.787
"14","01","05","2010","20","20","brooklyn",73,"housing","multi dwell - public hous",FALSE,"18-24","male","black",40.666263966,-73.905470264,0.09,0.787
"15","01","06","2010","13","50","staten island",120,"patrol",NA,FALSE,"18-24","male","black",40.6336522890001,-74.142141819,0.09,0.882
"16","01","07","2010","04","38","brooklyn",77,"patrol",NA,FALSE,"unknown","male","black",40.6757483330001,-73.92193931,0.09,0.787
"17","01","08","2010","12","25","bronx",44,"patrol",NA,FALSE,NA,NA,NA,40.830013132,-73.9181123119999,0.09,0.694
"18","01","08","2010","13","20","bronx",46,"patrol",NA,FALSE,"18-24","male","black hispanic",40.8455762520001,-73.917097853,0.09,0.694
"19","01","08","2010","23","35","queens",114,"patrol",NA,TRUE,"25-44","male","black",40.763734636,-73.938349702,0.09,0.806
"20","01","08","2010","23","35","queens",114,"patrol",NA,TRUE,"18-24","male","black",40.763734636,-73.938349702,0.09,0.806
"21","01","09","2010","00","10","bronx",46,"patrol","multi dwell - apt build",FALSE,"18-24","male","black",40.852141316,-73.922375949,0.09,0.694
"22","01","09","2010","18","05","manhattan",23,"patrol",NA,TRUE,"<18","male","white hispanic",40.790605542,-73.946432102,0.09,0.861
"23","01","09","2010","18","05","manhattan",23,"patrol",NA,TRUE,"18-24","male","white hispanic",40.790605542,-73.946432102,0.09,0.861
"24","01","09","2010","19","40","bronx",48,"patrol","multi dwell - apt build",FALSE,"18-24","male","white hispanic",40.8481772860001,-73.894367159,0.09,0.694
"25","01","09","2010","23","30","manhattan",19,"patrol",NA,FALSE,"18-24","male","white hispanic",40.7820158490001,-73.951658787,0.09,0.861
"26","01","10","2010","02","08","bronx",42,"housing","multi dwell - public hous",FALSE,"unknown","male","black",40.8366536350001,-73.907144875,0.09,0.694
"27","01","10","2010","03","42","brooklyn",77,"patrol","multi dwell - apt build",FALSE,"unknown","unknown","unknown",40.672010093,-73.959885228,0.09,0.787
"28","01","10","2010","03","42","brooklyn",77,"patrol","multi dwell - apt build",FALSE,"unknown","unknown","unknown",40.672010093,-73.959885228,0.09,0.787
"29","01","10","2010","20","30","brooklyn",79,"patrol",NA,FALSE,"18-24","male","black",40.687400633,-73.940369421,0.09,0.787
"30","01","11","2010","14","30","brooklyn",67,"patrol",NA,FALSE,NA,NA,NA,40.646863416,-73.921183919,0.09,0.787
"31","01","11","2010","21","02","brooklyn",69,"patrol",NA,FALSE,"unknown","unknown","unknown",40.642326715,-73.9005464319999,0.09,0.787
"32","01","13","2010","01","10","brooklyn",73,"housing","multi dwell - public hous",FALSE,"unknown","unknown","unknown",40.671191279,-73.909530956,0.09,0.787
"33","01","14","2010","12","06","queens",113,"patrol","pvt house",TRUE,NA,NA,NA,40.688872324,-73.792267281,0.09,0.806
"34","01","14","2010","14","14","bronx",49,"housing","multi dwell - public hous",TRUE,NA,NA,NA,40.869683937,-73.8699087689999,0.09,0.694
"35","01","14","2010","19","07","manhattan",34,"patrol","gas station",FALSE,"18-24","male","white hispanic",40.8632564640001,-73.920307672,0.09,0.861
"36","01","15","2010","03","10","manhattan",32,"patrol","bar/night club",FALSE,"25-44","male","black",40.8137384770001,-73.944952632,0.09,0.861
"37","01","15","2010","17","20","brooklyn",75,"patrol",NA,FALSE,"<18","male","white hispanic",40.6674935980001,-73.891807168,0.09,0.787
"38","01","15","2010","20","10","manhattan",7,"patrol",NA,FALSE,"25-44","male","white hispanic",40.717743945,-73.982791833,0.09,0.861
"39","01","15","2010","22","00","bronx",47,"patrol","multi dwell - apt build",FALSE,"18-24","male","black",40.8926018220001,-73.850239713,0.09,0.694
"40","01","15","2010","23","00","brooklyn",73,"patrol",NA,FALSE,"unknown","unknown","unknown",40.660883375,-73.909460459,0.09,0.787
"41","01","16","2010","04","52","queens",102,"patrol",NA,FALSE,"18-24","male","white hispanic",40.7014151920001,-73.823912535,0.09,0.806
"42","01","16","2010","23","55","bronx",41,"patrol",NA,FALSE,"unknown","unknown","unknown",40.8166731850001,-73.8879981599999,0.09,0.694
"43","01","17","2010","02","31","bronx",42,"patrol","fast food",FALSE,"unknown","unknown","unknown",40.8328969990001,-73.905478801,0.09,0.694
"44","01","17","2010","03","00","brooklyn",88,"housing","multi dwell - public hous",FALSE,"unknown","unknown","unknown",40.6958220240001,-73.978913583,0.09,0.787
"45","01","17","2010","05","40","manhattan",32,"patrol",NA,FALSE,"unknown","male","white hispanic",40.8182448750001,-73.937932501,0.09,0.861
"46","01","18","2010","02","30","brooklyn",67,"patrol","bar/night club",FALSE,"unknown","male","black",40.644526866,-73.919930649,0.09,0.787
"47","01","18","2010","04","22","staten island",120,"patrol","bar/night club",FALSE,"unknown","unknown","unknown",40.6336597550001,-74.136329727,0.09,0.882
"48","01","18","2010","04","55","bronx",46,"transit",NA,FALSE,"unknown","unknown","unknown",40.8560550510001,-73.900779259,0.09,0.694
"49","01","18","2010","05","15","brooklyn",63,"patrol","bar/night club",FALSE,"unknown","unknown","unknown",40.624700696,-73.927492649,0.09,0.787
"50","01","18","2010","11","15","bronx",47,"patrol","candy store",FALSE,"unknown","male","black",40.8961164720001,-73.847743456,0.09,0.694
"51","01","18","2010","14","26","brooklyn",79,"housing","multi dwell - public hous",TRUE,"18-24","male","black",40.699592243,-73.951780535,0.09,0.787
"52","01","18","2010","14","26","brooklyn",79,"housing","multi dwell - public hous",TRUE,"25-44","male","black",40.699592243,-73.951780535,0.09,0.787
"53","01","19","2010","21","10","bronx",47,"patrol",NA,FALSE,"unknown","unknown","unknown",40.875002367,-73.844233709,0.09,0.694
"54","01","20","2010","05","17","staten island",120,"patrol",NA,FALSE,"unknown","male","black",40.6184621740001,-74.083961573,0.09,0.882
