"","month","day","year","total_case","boro","boro_case"
"1","02","29","2020",1,"bronx",0
"2","02","29","2020",1,"brooklyn",0
"3","02","29","2020",1,"manhattan",1
"4","02","29","2020",1,"queens",0
"5","02","29","2020",1,"staten island",0
"6","03","01","2020",0,"bronx",0
"7","03","01","2020",0,"brooklyn",0
"8","03","01","2020",0,"manhattan",0
"9","03","01","2020",0,"queens",0
"10","03","01","2020",0,"staten island",0
"11","03","02","2020",0,"bronx",0
"12","03","02","2020",0,"brooklyn",0
"13","03","02","2020",0,"manhattan",0
"14","03","02","2020",0,"queens",0
"15","03","02","2020",0,"staten island",0
"16","03","03","2020",1,"bronx",0
"17","03","03","2020",1,"brooklyn",0
"18","03","03","2020",1,"manhattan",0
"19","03","03","2020",1,"queens",1
"20","03","03","2020",1,"staten island",0
"21","03","04","2020",5,"bronx",0
"22","03","04","2020",5,"brooklyn",1
"23","03","04","2020",5,"manhattan",2
"24","03","04","2020",5,"queens",2
"25","03","04","2020",5,"staten island",0
"26","03","05","2020",3,"bronx",0
"27","03","05","2020",3,"brooklyn",3
"28","03","05","2020",3,"manhattan",0
"29","03","05","2020",3,"queens",0
"30","03","05","2020",3,"staten island",0
"31","03","06","2020",8,"bronx",2
"32","03","06","2020",8,"brooklyn",1
"33","03","06","2020",8,"manhattan",3
"34","03","06","2020",8,"queens",1
"35","03","06","2020",8,"staten island",1
"36","03","07","2020",7,"bronx",0
"37","03","07","2020",7,"brooklyn",2
"38","03","07","2020",7,"manhattan",1
"39","03","07","2020",7,"queens",3
"40","03","07","2020",7,"staten island",1
"41","03","08","2020",21,"bronx",3
"42","03","08","2020",21,"brooklyn",5
"43","03","08","2020",21,"manhattan",6
"44","03","08","2020",21,"queens",6
"45","03","08","2020",21,"staten island",1
"46","03","09","2020",57,"bronx",4
"47","03","09","2020",57,"brooklyn",16
"48","03","09","2020",57,"manhattan",24
"49","03","09","2020",57,"queens",10
"50","03","09","2020",57,"staten island",3
"51","03","10","2020",69,"bronx",8
"52","03","10","2020",69,"brooklyn",11
"53","03","10","2020",69,"manhattan",24
"54","03","10","2020",69,"queens",24
"55","03","10","2020",69,"staten island",2
"56","03","11","2020",155,"bronx",19
"57","03","11","2020",155,"brooklyn",31
"58","03","11","2020",155,"manhattan",62
"59","03","11","2020",155,"queens",40
"60","03","11","2020",155,"staten island",3
"61","03","12","2020",355,"bronx",29
"62","03","12","2020",355,"brooklyn",96
"63","03","12","2020",355,"manhattan",137
"64","03","12","2020",355,"queens",80
"65","03","12","2020",355,"staten island",13
"66","03","13","2020",619,"bronx",79
"67","03","13","2020",619,"brooklyn",166
"68","03","13","2020",619,"manhattan",182
"69","03","13","2020",619,"queens",166
"70","03","13","2020",619,"staten island",26
"71","03","14","2020",642,"bronx",86
"72","03","14","2020",642,"brooklyn",163
"73","03","14","2020",642,"manhattan",176
"74","03","14","2020",642,"queens",194
"75","03","14","2020",642,"staten island",23
"76","03","15","2020",1035,"bronx",119
"77","03","15","2020",1035,"brooklyn",432
"78","03","15","2020",1035,"manhattan",206
"79","03","15","2020",1035,"queens",231
"80","03","15","2020",1035,"staten island",47
"81","03","16","2020",2121,"bronx",305
"82","03","16","2020",2121,"brooklyn",740
"83","03","16","2020",2121,"manhattan",457
"84","03","16","2020",2121,"queens",528
"85","03","16","2020",2121,"staten island",91
"86","03","17","2020",2452,"bronx",343
"87","03","17","2020",2452,"brooklyn",783
"88","03","17","2020",2452,"manhattan",567
"89","03","17","2020",2452,"queens",651
"90","03","17","2020",2452,"staten island",108
"91","03","18","2020",2971,"bronx",482
"92","03","18","2020",2971,"brooklyn",965
"93","03","18","2020",2971,"manhattan",538
"94","03","18","2020",2971,"queens",835
"95","03","18","2020",2971,"staten island",150
"96","03","19","2020",3706,"bronx",623
"97","03","19","2020",3706,"brooklyn",1204
"98","03","19","2020",3706,"manhattan",555
"99","03","19","2020",3706,"queens",1065
"100","03","19","2020",3706,"staten island",258
"101","03","20","2020",4006,"bronx",723
"102","03","20","2020",4006,"brooklyn",1136
"103","03","20","2020",4006,"manhattan",653
"104","03","20","2020",4006,"queens",1184
"105","03","20","2020",4006,"staten island",310
"106","03","21","2020",2639,"bronx",491
"107","03","21","2020",2639,"brooklyn",554
"108","03","21","2020",2639,"manhattan",399
"109","03","21","2020",2639,"queens",947
"110","03","21","2020",2639,"staten island",248
"111","03","22","2020",2580,"bronx",494
"112","03","22","2020",2580,"brooklyn",756
"113","03","22","2020",2580,"manhattan",317
"114","03","22","2020",2580,"queens",696
"115","03","22","2020",2580,"staten island",317
"116","03","23","2020",3570,"bronx",729
"117","03","23","2020",3570,"brooklyn",910
"118","03","23","2020",3570,"manhattan",530
"119","03","23","2020",3570,"queens",1192
"120","03","23","2020",3570,"staten island",209
"121","03","24","2020",4498,"bronx",927
"122","03","24","2020",4498,"brooklyn",1212
"123","03","24","2020",4498,"manhattan",619
"124","03","24","2020",4498,"queens",1390
"125","03","24","2020",4498,"staten island",350
"126","03","25","2020",4875,"bronx",1068
"127","03","25","2020",4875,"brooklyn",1255
"128","03","25","2020",4875,"manhattan",586
"129","03","25","2020",4875,"queens",1572
"130","03","25","2020",4875,"staten island",394
"131","03","26","2020",5044,"bronx",998
"132","03","26","2020",5044,"brooklyn",1372
"133","03","26","2020",5044,"manhattan",626
"134","03","26","2020",5044,"queens",1644
"135","03","26","2020",5044,"staten island",404
"136","03","27","2020",5119,"bronx",1090
"137","03","27","2020",5119,"brooklyn",1426
"138","03","27","2020",5119,"manhattan",656
"139","03","27","2020",5119,"queens",1576
"140","03","27","2020",5119,"staten island",371
"141","03","28","2020",3479,"bronx",761
"142","03","28","2020",3479,"brooklyn",863
"143","03","28","2020",3479,"manhattan",388
"144","03","28","2020",3479,"queens",1201
"145","03","28","2020",3479,"staten island",266
"146","03","29","2020",3560,"bronx",699
"147","03","29","2020",3560,"brooklyn",1149
"148","03","29","2020",3560,"manhattan",407
"149","03","29","2020",3560,"queens",1075
"150","03","29","2020",3560,"staten island",230
"151","03","30","2020",6129,"bronx",1314
"152","03","30","2020",6129,"brooklyn",1754
"153","03","30","2020",6129,"manhattan",804
"154","03","30","2020",6129,"queens",1858
"155","03","30","2020",6129,"staten island",398
"156","03","31","2020",5458,"bronx",1282
"157","03","31","2020",5458,"brooklyn",1513
"158","03","31","2020",5458,"manhattan",616
"159","03","31","2020",5458,"queens",1810
"160","03","31","2020",5458,"staten island",237
"161","04","01","2020",5449,"bronx",1240
"162","04","01","2020",5449,"brooklyn",1590
"163","04","01","2020",5449,"manhattan",573
"164","04","01","2020",5449,"queens",1782
"165","04","01","2020",5449,"staten island",264
"166","04","02","2020",5746,"bronx",1290
"167","04","02","2020",5746,"brooklyn",1609
"168","04","02","2020",5746,"manhattan",652
"169","04","02","2020",5746,"queens",1826
"170","04","02","2020",5746,"staten island",369
"171","04","03","2020",5669,"bronx",1450
"172","04","03","2020",5669,"brooklyn",1440
"173","04","03","2020",5669,"manhattan",672
"174","04","03","2020",5669,"queens",1762
"175","04","03","2020",5669,"staten island",345
"176","04","04","2020",3864,"bronx",1011
"177","04","04","2020",3864,"brooklyn",920
"178","04","04","2020",3864,"manhattan",385
"179","04","04","2020",3864,"queens",1202
"180","04","04","2020",3864,"staten island",345
"181","04","05","2020",3780,"bronx",822
"182","04","05","2020",3780,"brooklyn",1142
"183","04","05","2020",3780,"manhattan",356
"184","04","05","2020",3780,"queens",1136
"185","04","05","2020",3780,"staten island",323
"186","04","06","2020",6353,"bronx",1514
"187","04","06","2020",6353,"brooklyn",1461
"188","04","06","2020",6353,"manhattan",721
"189","04","06","2020",6353,"queens",1927
"190","04","06","2020",6353,"staten island",730
"191","04","07","2020",6044,"bronx",1463
"192","04","07","2020",6044,"brooklyn",1397
"193","04","07","2020",6044,"manhattan",606
"194","04","07","2020",6044,"queens",1948
"195","04","07","2020",6044,"staten island",630
"196","04","08","2020",5576,"bronx",1305
"197","04","08","2020",5576,"brooklyn",1306
"198","04","08","2020",5576,"manhattan",546
"199","04","08","2020",5576,"queens",1857
"200","04","08","2020",5576,"staten island",562
"201","04","09","2020",5070,"bronx",1285
"202","04","09","2020",5070,"brooklyn",1370
"203","04","09","2020",5070,"manhattan",558
"204","04","09","2020",5070,"queens",1559
"205","04","09","2020",5070,"staten island",298
"206","04","10","2020",4510,"bronx",1226
"207","04","10","2020",4510,"brooklyn",1145
"208","04","10","2020",4510,"manhattan",496
"209","04","10","2020",4510,"queens",1342
"210","04","10","2020",4510,"staten island",301
"211","04","11","2020",3733,"bronx",999
"212","04","11","2020",3733,"brooklyn",1130
"213","04","11","2020",3733,"manhattan",304
"214","04","11","2020",3733,"queens",988
"215","04","11","2020",3733,"staten island",311
"216","04","12","2020",2888,"bronx",764
"217","04","12","2020",2888,"brooklyn",703
"218","04","12","2020",2888,"manhattan",252
"219","04","12","2020",2888,"queens",916
"220","04","12","2020",2888,"staten island",253
"221","04","13","2020",3311,"bronx",692
"222","04","13","2020",3311,"brooklyn",1066
"223","04","13","2020",3311,"manhattan",394
"224","04","13","2020",3311,"queens",974
