"Label (Grouping)","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","165,551","(X)","83,888","(X)","81,663","(X)","251,964","(X)","124,237","(X)","127,727","(X)","161,844","(X)","72,896","(X)","88,948","(X)","210,593","(X)","106,307","(X)","104,286","(X)","43,831","(X)","22,145","(X)","21,686","(X)"
"    Less than high school graduate","40,047","24.2%","22,578","26.9%","17,469","21.4%","39,081","15.5%","22,528","18.1%","16,553","13.0%","17,056","10.5%","9,912","13.6%","7,144","8.0%","28,586","13.6%","16,910","15.9%","11,676","11.2%","4,554","10.4%","2,562","11.6%","1,992","9.2%"
"    High school graduate (includes equivalency)","43,773","26.4%","24,690","29.4%","19,083","23.4%","65,532","26.0%","33,901","27.3%","31,631","24.8%","28,918","17.9%","14,399","19.8%","14,519","16.3%","49,533","23.5%","27,666","26.0%","21,867","21.0%","11,522","26.3%","6,252","28.2%","5,270","24.3%"
"    Some college or associate's degree","70,508","42.6%","32,620","38.9%","37,888","46.4%","105,728","42.0%","51,092","41.1%","54,636","42.8%","63,166","39.0%","26,305","36.1%","36,861","41.4%","100,757","47.8%","48,634","45.7%","52,123","50.0%","20,913","47.7%","10,245","46.3%","10,668","49.2%"
"    Bachelor's degree or higher","11,223","6.8%","4,000","4.8%","7,223","8.8%","41,623","16.5%","16,716","13.5%","24,907","19.5%","52,704","32.6%","22,280","30.6%","30,424","34.2%","31,717","15.1%","13,097","12.3%","18,620","17.9%","6,842","15.6%","3,086","13.9%","3,756","17.3%"
"Population 25 years and over","895,181","(X)","400,937","(X)","494,244","(X)","1,735,647","(X)","794,774","(X)","940,873","(X)","1,229,036","(X)","575,370","(X)","653,666","(X)","1,619,173","(X)","768,178","(X)","850,995","(X)","322,287","(X)","151,986","(X)","170,301","(X)"
"    Less than 9th grade","134,663","15.0%","59,397","14.8%","75,266","15.2%","178,723","10.3%","80,165","10.1%","98,558","10.5%","88,770","7.2%","38,438","6.7%","50,332","7.7%","173,583","10.7%","77,940","10.1%","95,643","11.2%","15,027","4.7%","6,897","4.5%","8,130","4.8%"
"    9th to 12th grade, no diploma","128,441","14.3%","59,831","14.9%","68,610","13.9%","180,433","10.4%","86,545","10.9%","93,888","10.0%","75,629","6.2%","35,414","6.2%","40,215","6.2%","143,466","8.9%","71,826","9.4%","71,640","8.4%","21,394","6.6%","10,122","6.7%","11,272","6.6%"
"    High school graduate (includes equivalency)","244,763","27.3%","118,460","29.5%","126,303","25.6%","455,076","26.2%","208,301","26.2%","246,775","26.2%","154,993","12.6%","75,673","13.2%","79,320","12.1%","442,208","27.3%","212,510","27.7%","229,698","27.0%","103,017","32.0%","48,464","31.9%","54,553","32.0%"
"    Some college, no degree","156,301","17.5%","71,125","17.7%","85,176","17.2%","244,089","14.1%","115,959","14.6%","128,130","13.6%","126,994","10.3%","62,522","10.9%","64,472","9.9%","241,246","14.9%","118,316","15.4%","122,930","14.4%","58,241","18.1%","30,246","19.9%","27,995","16.4%"
"    Associate's degree","61,591","6.9%","24,290","6.1%","37,301","7.5%","107,313","6.2%","44,995","5.7%","62,318","6.6%","46,092","3.8%","18,305","3.2%","27,787","4.3%","125,693","7.8%","55,641","7.2%","70,052","8.2%","25,382","7.9%","11,120","7.3%","14,262","8.4%"
"    Bachelor's degree","110,355","12.3%","45,221","11.3%","65,134","13.2%","348,413","20.1%","162,450","20.4%","185,963","19.8%","388,043","31.6%","182,002","31.6%","206,041","31.5%","313,071","19.3%","150,829","19.6%","162,242","19.1%","59,189","18.4%","28,916","19.0%","30,273","17.8%"
"    Graduate or professional degree","59,067","6.6%","22,613","5.6%","36,454","7.4%","221,600","12.8%","96,359","12.1%","125,241","13.3%","348,515","28.4%","163,016","28.3%","185,499","28.4%","179,906","11.1%","81,116","10.6%","98,790","11.6%","40,037","12.4%","16,221","10.7%","23,816","14.0%"
"Percent high school graduate or higher","(X)","70.6%","(X)","70.3%","(X)","70.9%","(X)","79.3%","(X)","79.0%","(X)","79.5%","(X)","86.6%","(X)","87.2%","(X)","86.1%","(X)","80.4%","(X)","80.5%","(X)","80.3%","(X)","88.7%","(X)","88.8%","(X)","88.6%"
"Percent bachelor's degree or higher","(X)","18.9%","(X)","16.9%","(X)","20.6%","(X)","32.8%","(X)","32.6%","(X)","33.1%","(X)","59.9%","(X)","60.0%","(X)","59.9%","(X)","30.4%","(X)","30.2%","(X)","30.7%","(X)","30.8%","(X)","29.7%","(X)","31.8%"
"Population 25 to 34 years","216,168","(X)","102,783","(X)","113,385","(X)","461,389","(X)","222,209","(X)","239,180","(X)","368,031","(X)","173,631","(X)","194,400","(X)","374,232","(X)","186,706","(X)","187,526","(X)","60,814","(X)","30,428","(X)","30,386","(X)"
