"Label (Grouping)","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","156,130","(X)","78,634","(X)","77,496","(X)","228,226","(X)","111,161","(X)","117,065","(X)","152,197","(X)","69,207","(X)","82,990","(X)","195,366","(X)","97,517","(X)","97,849","(X)","41,202","(X)","20,635","(X)","20,567","(X)"
"    Less than high school graduate","34,398","22.0%","20,517","26.1%","13,881","17.9%","29,774","13.0%","16,891","15.2%","12,883","11.0%","12,810","8.4%","5,902","8.5%","6,908","8.3%","19,510","10.0%","11,717","12.0%","7,793","8.0%","5,615","13.6%","2,905","14.1%","2,710","13.2%"
"    High school graduate (includes equivalency)","40,786","26.1%","21,249","27.0%","19,537","25.2%","61,064","26.8%","31,406","28.3%","29,658","25.3%","25,777","16.9%","13,584","19.6%","12,193","14.7%","50,237","25.7%","26,719","27.4%","23,518","24.0%","11,182","27.1%","5,670","27.5%","5,512","26.8%"
"    Some college or associate's degree","69,093","44.3%","32,123","40.9%","36,970","47.7%","91,983","40.3%","44,882","40.4%","47,101","40.2%","62,022","40.8%","27,548","39.8%","34,474","41.5%","93,894","48.1%","46,148","47.3%","47,746","48.8%","19,279","46.8%","10,017","48.5%","9,262","45.0%"
"    Bachelor's degree or higher","11,853","7.6%","4,745","6.0%","7,108","9.2%","45,405","19.9%","17,982","16.2%","27,423","23.4%","51,588","33.9%","22,173","32.0%","29,415","35.4%","31,725","16.2%","12,933","13.3%","18,792","19.2%","5,126","12.4%","2,043","9.9%","3,083","15.0%"
"Population 25 years and over","931,269","(X)","419,936","(X)","511,333","(X)","1,791,538","(X)","824,454","(X)","967,084","(X)","1,250,801","(X)","588,973","(X)","661,828","(X)","1,661,279","(X)","790,302","(X)","870,977","(X)","329,911","(X)","155,967","(X)","173,944","(X)"
"    Less than 9th grade","130,366","14.0%","60,566","14.4%","69,800","13.7%","159,612","8.9%","72,098","8.7%","87,514","9.0%","89,756","7.2%","37,680","6.4%","52,076","7.9%","167,860","10.1%","74,995","9.5%","92,865","10.7%","15,691","4.8%","7,268","4.7%","8,423","4.8%"
"    9th to 12th grade, no diploma","130,651","14.0%","60,170","14.3%","70,481","13.8%","176,092","9.8%","85,583","10.4%","90,509","9.4%","70,662","5.6%","37,249","6.3%","33,413","5.0%","138,116","8.3%","63,959","8.1%","74,157","8.5%","22,067","6.7%","10,516","6.7%","11,551","6.6%"
"    High school graduate (includes equivalency)","266,034","28.6%","131,101","31.2%","134,933","26.4%","450,548","25.1%","212,240","25.7%","238,308","24.6%","158,391","12.7%","73,906","12.5%","84,485","12.8%","463,579","27.9%","228,598","28.9%","234,981","27.0%","100,582","30.5%","44,749","28.7%","55,833","32.1%"
"    Some college, no degree","165,362","17.8%","72,175","17.2%","93,187","18.2%","242,623","13.5%","120,061","14.6%","122,562","12.7%","126,004","10.1%","62,430","10.6%","63,574","9.6%","238,207","14.3%","118,283","15.0%","119,924","13.8%","59,988","18.2%","31,261","20.0%","28,727","16.5%"
"    Associate's degree","67,935","7.3%","28,561","6.8%","39,374","7.7%","110,678","6.2%","44,776","5.4%","65,902","6.8%","50,048","4.0%","20,558","3.5%","29,490","4.5%","131,424","7.9%","60,192","7.6%","71,232","8.2%","24,316","7.4%","13,419","8.6%","10,897","6.3%"
"    Bachelor's degree","111,989","12.0%","43,886","10.5%","68,103","13.3%","394,279","22.0%","179,888","21.8%","214,391","22.2%","391,138","31.3%","182,110","30.9%","209,028","31.6%","323,601","19.5%","157,427","19.9%","166,174","19.1%","64,037","19.4%","32,354","20.7%","31,683","18.2%"
"    Graduate or professional degree","58,932","6.3%","23,477","5.6%","35,455","6.9%","257,706","14.4%","109,808","13.3%","147,898","15.3%","364,802","29.2%","175,040","29.7%","189,762","28.7%","198,492","11.9%","86,848","11.0%","111,644","12.8%","43,230","13.1%","16,400","10.5%","26,830","15.4%"
"Percent high school graduate or higher","(X)","72.0%","(X)","71.2%","(X)","72.6%","(X)","81.3%","(X)","80.9%","(X)","81.6%","(X)","87.2%","(X)","87.3%","(X)","87.1%","(X)","81.6%","(X)","82.4%","(X)","80.8%","(X)","88.6%","(X)","88.6%","(X)","88.5%"
"Percent bachelor's degree or higher","(X)","18.4%","(X)","16.0%","(X)","20.3%","(X)","36.4%","(X)","35.1%","(X)","37.5%","(X)","60.4%","(X)","60.6%","(X)","60.3%","(X)","31.4%","(X)","30.9%","(X)","31.9%","(X)","32.5%","(X)","31.3%","(X)","33.6%"
"Population 25 to 34 years","231,644","(X)","111,805","(X)","119,839","(X)","483,666","(X)","234,532","(X)","249,134","(X)","372,335","(X)","178,150","(X)","194,185","(X)","381,573","(X)","190,531","(X)","191,042","(X)","63,666","(X)","32,132","(X)","31,534","(X)"
"    High school graduate or higher","190,363","82.2%","89,854","80.4%","100,509","83.9%","429,480","88.8%","204,360","87.1%","225,120","90.4%","353,330","94.9%","168,799","94.8%","184,531","95.0%","343,876","90.1%","172,018","90.3%","171,858","90.0%","56,801","89.2%","28,885","89.9%","27,916","88.5%"
"    Bachelor's degree or higher","50,022","21.6%","17,738","15.9%","32,284","26.9%","241,472","49.9%","107,347","45.8%","134,125","53.8%","277,193","74.4%","126,210","70.8%","150,983","77.8%","168,357","44.1%","77,303","40.6%","91,054","47.7%","25,574","40.2%","11,254","35.0%","14,320","45.4%"
"Population 35 to 44 years","184,048","(X)","84,747","(X)","99,301","(X)","365,561","(X)","175,155","(X)","190,406","(X)","239,181","(X)","118,920","(X)","120,261","(X)","325,901","(X)","161,557","(X)","164,344","(X)","60,389","(X)","29,401","(X)","30,988","(X)"
"    High school graduate or higher","138,497","75.3%","63,168","74.5%","75,329","75.9%","311,329","85.2%","148,414","84.7%","162,915","85.6%","216,750","90.6%","106,465","89.5%","110,285","91.7%","277,928","85.3%","135,885","84.1%","142,043","86.4%","55,133","91.3%","26,966","91.7%","28,167","90.9%"
"    Bachelor's degree or higher","39,806","21.6%","16,912","20.0%","22,894","23.1%","148,849","40.7%","65,112","37.2%","83,737","44.0%","158,185","66.1%","75,662","63.6%","82,523","68.6%","114,594","35.2%","50,519","31.3%","64,075","39.0%","25,682","42.5%","10,602","36.1%","15,080","48.7%"
"Population 45 to 64 years","344,596","(X)","156,938","(X)","187,658","(X)","608,626","(X)","279,077","(X)","329,549","(X)","393,662","(X)","192,038","(X)","201,624","(X)","621,255","(X)","299,135","(X)","322,120","(X)","132,725","(X)","63,150","(X)","69,575","(X)"
"    High school graduate or higher","249,493","72.4%","113,159","72.1%","136,334","72.7%","483,071","79.4%","218,963","78.5%","264,108","80.1%","336,511","85.5%","162,592","84.7%","173,919","86.3%","498,852","80.3%","243,126","81.3%","255,726","79.4%","120,910","91.1%","55,995","88.7%","64,915","93.3%"
"    Bachelor's degree or higher","60,313","17.5%","24,052","15.3%","36,261","19.3%","180,127","29.6%","80,881","29.0%","99,246","30.1%","210,457","53.5%","104,491","54.4%","105,966","52.6%","164,542","26.5%","78,485","26.2%","86,057","26.7%","38,304","28.9%","17,268","27.3%","21,036","30.2%"
"Population 65 years and over","170,981","(X)","66,446","(X)","104,535","(X)","333,685","(X)","135,690","(X)","197,995","(X)","245,623","(X)","99,865","(X)","145,758","(X)","332,550","(X)","139,079","(X)","193,471","(X)","73,131","(X)","31,284","(X)","41,847","(X)"
"    High school graduate or higher","91,899","53.7%","33,019","49.7%","58,880","56.3%","231,954","69.5%","95,036","70.0%","136,918","69.2%","183,792","74.8%","76,188","76.3%","107,604","73.8%","234,647","70.6%","100,319","72.1%","134,328","69.4%","59,309","81.1%","26,337","84.2%","32,972","78.8%"
"    Bachelor's degree or higher","20,780","12.2%","8,661","13.0%","12,119","11.6%","81,537","24.4%","36,356","26.8%","45,181","22.8%","110,105","44.8%","50,787","50.9%","59,318","40.7%","74,600","22.4%","37,968","27.3%","36,632","18.9%","17,707","24.2%","9,630","30.8%","8,077","19.3%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","220,217","(X)","105,030","(X)","115,187","(X)","788,349","(X)","383,074","(X)","405,275","(X)","743,429","(X)","358,992","(X)","384,437","(X)","677,669","(X)","331,541","(X)","346,128","(X)","251,768","(X)","119,692","(X)","132,076","(X)"
"        High school graduate or higher","162,719","73.9%","77,523","73.8%","85,196","74.0%","691,565","87.7%","334,284","87.3%","357,281","88.2%","697,072","93.8%","338,507","94.3%","358,565","93.3%","577,543","85.2%","282,001","85.1%","295,542","85.4%","226,959","90.1%","107,598","89.9%","119,361","90.4%"
"        Bachelor's degree or higher","50,290","22.8%","22,048","21.0%","28,242","24.5%","398,061","50.5%","188,831","49.3%","209,230","51.6%","560,292","75.4%","272,537","75.9%","287,755","74.9%","247,325","36.5%","119,209","36.0%","128,116","37.0%","81,101","32.2%","37,313","31.2%","43,788","33.2%"
"White alone, not Hispanic or Latino","99,417","(X)","47,122","(X)","52,295","(X)","663,751","(X)","321,522","(X)","342,229","(X)","625,117","(X)","303,576","(X)","321,541","(X)","456,381","(X)","221,618","(X)","234,763","(X)","216,123","(X)","102,614","(X)","113,509","(X)"
"    High school graduate or higher","85,771","86.3%","40,800","86.6%","44,971","86.0%","607,745","91.6%","292,371","90.9%","315,374","92.2%","613,506","98.1%","298,286","98.3%","315,220","98.0%","413,640","90.6%","201,811","91.1%","211,829","90.2%","199,570","92.3%","94,821","92.4%","104,749","92.3%"
"    Bachelor's degree or higher","35,364","35.6%","16,038","34.0%","19,326","37.0%","372,096","56.1%","175,691","54.6%","196,405","57.4%","520,045","83.2%","252,614","83.2%","267,431","83.2%","202,877","44.5%","97,487","44.0%","105,390","44.9%","75,018","34.7%","34,911","34.0%","40,107","35.3%"
"Black alone","322,680","(X)","139,992","(X)","182,688","(X)","586,918","(X)","244,120","(X)","342,798","(X)","176,242","(X)","79,088","(X)","97,154","(X)","292,365","(X)","126,854","(X)","165,511","(X)","30,638","(X)","13,578","(X)","17,060","(X)"
"    High school graduate or higher","251,324","77.9%","105,831","75.6%","145,493","79.6%","497,157","84.7%","205,460","84.2%","291,697","85.1%","144,080","81.8%","62,681","79.3%","81,399","83.8%","252,789","86.5%","109,805","86.6%","142,984","86.4%","26,613","86.9%","12,521","92.2%","14,092","82.6%"
"    Bachelor's degree or higher","63,511","19.7%","21,516","15.4%","41,995","23.0%","141,110","24.0%","50,176","20.6%","90,934","26.5%","51,380","29.2%","19,944","25.2%","31,436","32.4%","73,795","25.2%","29,102","22.9%","44,693","27.0%","8,915","29.1%","3,647","26.9%","5,268","30.9%"
"American Indian or Alaska Native alone","5,242","(X)","2,601","(X)","2,641","(X)","5,458","(X)","2,809","(X)","2,649","(X)","3,644","(X)","1,507","(X)","2,137","(X)","6,160","(X)","2,482","(X)","3,678","(X)","N","(X)","N","(X)","N","(X)"
"    High school graduate or higher","3,587","68.4%","1,687","64.9%","1,900","71.9%","3,318","60.8%","1,550","55.2%","1,768","66.7%","2,308","63.3%","1,042","69.1%","1,266","59.2%","4,247","68.9%","1,542","62.1%","2,705","73.5%","N","N","N","N","N","N"
"    Bachelor's degree or higher","575","11.0%","178","6.8%","397","15.0%","1,041","19.1%","349","12.4%","692","26.1%","638","17.5%","638","42.3%","0","0.0%","770","12.5%","227","9.1%","543","14.8%","N","N","N","N","N","N"
"Asian alone","37,452","(X)","17,753","(X)","19,699","(X)","223,329","(X)","105,746","(X)","117,583","(X)","160,413","(X)","69,475","(X)","90,938","(X)","436,122","(X)","206,843","(X)","229,279","(X)","29,408","(X)","13,720","(X)","15,688","(X)"
"    High school graduate or higher","30,753","82.1%","15,349","86.5%","15,404","78.2%","145,135","65.0%","69,753","66.0%","75,382","64.1%","130,026","81.1%","56,658","81.6%","73,368","80.7%","339,275","77.8%","167,482","81.0%","171,793","74.9%","24,169","82.2%","11,146","81.2%","13,023","83.0%"
"    Bachelor's degree or higher","14,770","39.4%","7,486","42.2%","7,284","37.0%","72,865","32.6%","33,253","31.4%","39,612","33.7%","102,894","64.1%","44,919","64.7%","57,975","63.8%","160,856","36.9%","78,927","38.2%","81,929","35.7%","13,470","45.8%","6,388","46.6%","7,082","45.1%"
"Native Hawaiian and Other Pacific Islander alone","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)","N","(X)"
"    High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Some other race alone","315,865","(X)","141,572","(X)","174,293","(X)","144,815","(X)","70,444","(X)","74,371","(X)","121,176","(X)","57,490","(X)","63,686","(X)","203,303","(X)","99,592","(X)","103,711","(X)","13,402","(X)","7,015","(X)","6,387","(X)"
"    High school graduate or higher","199,651","63.2%","89,091","62.9%","110,560","63.4%","83,975","58.0%","40,518","57.5%","43,457","58.4%","80,842","66.7%","37,739","65.6%","43,103","67.7%","145,726","71.7%","72,448","72.7%","73,278","70.7%","10,474","78.2%","5,330","76.0%","5,144","80.5%"
"    Bachelor's degree or higher","33,893","10.7%","13,233","9.3%","20,660","11.9%","19,793","13.7%","8,882","12.6%","10,911","14.7%","22,179","18.3%","10,741","18.7%","11,438","18.0%","25,142","12.4%","10,400","10.4%","14,742","14.2%","2,085","15.6%","959","13.7%","1,126","17.6%"
