"","year","month","unemployment_rate"
"1","2010","01",0.09
"2","2010","02",0.09
"3","2010","03",0.089
"4","2010","04",0.088
"5","2010","05",0.088
"6","2010","06",0.087
"7","2010","07",0.086
"8","2010","08",0.086
"9","2010","09",0.086
"10","2010","10",0.086
"11","2010","11",0.085
"12","2010","12",0.085
"13","2011","01",0.084
"14","2011","02",0.083
"15","2011","03",0.082
"16","2011","04",0.082
"17","2011","05",0.082
"18","2011","06",0.083
"19","2011","07",0.083
"20","2011","08",0.084
"21","2011","09",0.084
"22","2011","10",0.085
"23","2011","11",0.085
"24","2011","12",0.086
"25","2012","01",0.086
"26","2012","02",0.086
"27","2012","03",0.087
"28","2012","04",0.088
"29","2012","05",0.088
"30","2012","06",0.088
"31","2012","07",0.087
"32","2012","08",0.086
"33","2012","09",0.086
"34","2012","10",0.085
"35","2012","11",0.084
"36","2012","12",0.084
"37","2013","01",0.083
"38","2013","02",0.082
"39","2013","03",0.081
"40","2013","04",0.08
"41","2013","05",0.079
"42","2013","06",0.079
"43","2013","07",0.078
"44","2013","08",0.078
"45","2013","09",0.076
"46","2013","10",0.075
"47","2013","11",0.073
"48","2013","12",0.071
"49","2014","01",0.07
"50","2014","02",0.068
"51","2014","03",0.067
"52","2014","04",0.065
"53","2014","05",0.064
"54","2014","06",0.063
"55","2014","07",0.062
"56","2014","08",0.061
"57","2014","09",0.06
"58","2014","10",0.059
"59","2014","11",0.058
"60","2014","12",0.058
"61","2015","01",0.057
"62","2015","02",0.056
"63","2015","03",0.056
"64","2015","04",0.055
"65","2015","05",0.054
"66","2015","06",0.053
"67","2015","07",0.052
"68","2015","08",0.05
"69","2015","09",0.049
"70","2015","10",0.049
"71","2015","11",0.049
"72","2015","12",0.048
"73","2016","01",0.048
"74","2016","02",0.048
"75","2016","03",0.048
"76","2016","04",0.048
"77","2016","05",0.048
"78","2016","06",0.049
"79","2016","07",0.049
"80","2016","08",0.05
"81","2016","09",0.05
"82","2016","10",0.05
"83","2016","11",0.049
"84","2016","12",0.048
"85","2017","01",0.047
"86","2017","02",0.047
"87","2017","03",0.046
"88","2017","04",0.046
"89","2017","05",0.046
"90","2017","06",0.047
"91","2017","07",0.047
"92","2017","08",0.047
"93","2017","09",0.047
"94","2017","10",0.046
"95","2017","11",0.046
"96","2017","12",0.046
"97","2018","01",0.045
"98","2018","02",0.044
"99","2018","03",0.043
"100","2018","04",0.042
"101","2018","05",0.041
"102","2018","06",0.04
"103","2018","07",0.039
"104","2018","08",0.039
"105","2018","09",0.039
"106","2018","10",0.039
"107","2018","11",0.04
"108","2018","12",0.04
"109","2019","01",0.04
"110","2019","02",0.039
"111","2019","03",0.039
"112","2019","04",0.038
"113","2019","05",0.038
"114","2019","06",0.038
"115","2019","07",0.038
"116","2019","08",0.038
"117","2019","09",0.038
"118","2019","10",0.038
"119","2019","11",0.037
"120","2019","12",0.037
"121","2020","01",0.038
"122","2020","02",0.039
"123","2020","03",0.039
"124","2020","04",0.162
"125","2020","05",0.157
"126","2020","06",0.15
"127","2020","07",0.147
"128","2020","08",0.117
"129","2020","09",0.1
"130","2020","10",0.087
"131","2020","11",0.087
"132","2020","12",0.087
