"","boro","year","month","labor_force","employed","unemployed","unemployment_rate"
"1","bronx",2020,"jan",598600,566900,31700,0.053
"2","bronx",2020,"feb",602800,571900,30900,0.051
"3","bronx",2020,"mar",597300,563100,34200,0.057
"4","bronx",2020,"apr",550500,448600,101900,0.185
"5","bronx",2020,"may",555100,418600,136500,0.246
"6","bronx",2020,"jun",590700,454300,136500,0.231
"7","bronx",2020,"jul",599500,456700,142800,0.238
"8","bronx",2020,"aug",609100,489600,119500,0.196
"9","bronx",2020,"sep",609200,488400,120800,0.198
"10","bronx",2020,"oct",585300,492700,92600,0.158
"11","bronx",2020,"nov",586100,493200,92900,0.159
"12","bronx",2020,"dec",584800,491900,92900,0.159
"13","bronx",2019,"jan",604100,563500,40700,0.067
"14","bronx",2019,"feb",606300,568900,37400,0.062
"15","bronx",2019,"mar",602800,568100,34700,0.058
"16","bronx",2019,"apr",595500,565700,29700,0.05
"17","bronx",2019,"may",593800,563600,30200,0.051
"18","bronx",2019,"jun",594700,564000,30700,0.052
"19","bronx",2019,"jul",600800,565800,35000,0.058
"20","bronx",2019,"aug",597900,563700,34200,0.057
"21","bronx",2019,"sep",595000,566500,28500,0.048
"22","bronx",2019,"oct",597800,567700,30100,0.05
"23","bronx",2019,"nov",592800,565300,27600,0.047
"24","bronx",2019,"dec",590700,565000,25700,0.044
"25","bronx",2018,"jan",601100,561900,39100,0.065
"26","bronx",2018,"feb",608200,568700,39500,0.065
"27","bronx",2018,"mar",605100,568500,36600,0.06
"28","bronx",2018,"apr",597700,565500,32200,0.054
"29","bronx",2018,"may",594600,564300,30300,0.051
"30","bronx",2018,"jun",598900,564400,34500,0.058
"31","bronx",2018,"jul",603700,566900,36800,0.061
"32","bronx",2018,"aug",597600,561500,36200,0.061
"33","bronx",2018,"sep",595000,563700,31300,0.053
"34","bronx",2018,"oct",599500,566900,32600,0.054
"35","bronx",2018,"nov",597700,566000,31700,0.053
"36","bronx",2018,"dec",6e+05,566100,33900,0.056
"37","bronx",2017,"jan",606000,563600,42400,0.07
"38","bronx",2017,"feb",610600,568800,41800,0.068
"39","bronx",2017,"mar",608300,570600,37700,0.062
"40","bronx",2017,"apr",604200,569000,35100,0.058
"41","bronx",2017,"may",602400,566300,36100,0.06
"42","bronx",2017,"jun",604200,566500,37800,0.062
"43","bronx",2017,"jul",612100,569700,42400,0.069
"44","bronx",2017,"aug",608600,566000,42600,0.07
"45","bronx",2017,"sep",606100,568500,37600,0.062
"46","bronx",2017,"oct",603900,567500,36300,0.06
"47","bronx",2017,"nov",600600,565500,35100,0.058
"48","bronx",2017,"dec",599000,564800,34200,0.057
"49","bronx",2016,"jan",607600,560900,46700,0.077
"50","bronx",2016,"feb",612500,566200,46300,0.076
"51","bronx",2016,"mar",612100,566900,45200,0.074
"52","bronx",2016,"apr",605300,564500,40800,0.067
"53","bronx",2016,"may",601000,562400,38600,0.064
"54","bronx",2016,"jun",605200,562300,42900,0.071
"55","bronx",2016,"jul",612800,565700,47100,0.077
"56","bronx",2016,"aug",610400,563600,46800,0.077
"57","bronx",2016,"sep",608300,564000,44300,0.073
"58","bronx",2016,"oct",608900,564700,44200,0.073
"59","bronx",2016,"nov",602600,563300,39300,0.065
"60","bronx",2016,"dec",600900,563100,37800,0.063
"61","brooklyn",2020,"jan",1199800,1152700,47000,0.039
"62","brooklyn",2020,"feb",1210500,1163900,46600,0.039
"63","brooklyn",2020,"mar",1199200,1147400,51800,0.043
"64","brooklyn",2020,"apr",1083300,913500,169800,0.157
"65","brooklyn",2020,"may",1072300,853300,219000,0.204
"66","brooklyn",2020,"jun",1140400,925000,215400,0.189
"67","brooklyn",2020,"jul",1151800,929900,221800,0.193
"68","brooklyn",2020,"aug",1175100,996800,178300,0.152
"69","brooklyn",2020,"sep",1167400,993400,173900,0.149
"70","brooklyn",2020,"oct",1138800,1002700,136100,0.119
"71","brooklyn",2020,"nov",1139000,1003000,136100,0.119
"72","brooklyn",2020,"dec",1135900,1000600,135400,0.119
"73","brooklyn",2019,"jan",1205100,1144400,60800,0.05
"74","brooklyn",2019,"feb",1212800,1156200,56600,0.047
"75","brooklyn",2019,"mar",1209000,1156000,53000,0.044
"76","brooklyn",2019,"apr",1196600,1150800,45800,0.038
"77","brooklyn",2019,"may",1193700,1146500,47200,0.04
"78","brooklyn",2019,"jun",1194000,1145900,48200,0.04
"79","brooklyn",2019,"jul",1202300,1149100,53300,0.044
"80","brooklyn",2019,"aug",1195700,1144200,51400,0.043
"81","brooklyn",2019,"sep",1193600,1150500,43100,0.036
"82","brooklyn",2019,"oct",1199000,1153300,45700,0.038
"83","brooklyn",2019,"nov",1189800,1148600,41200,0.035
"84","brooklyn",2019,"dec",1186200,1148100,38000,0.032
"85","brooklyn",2018,"jan",1199200,1142600,56600,0.047
"86","brooklyn",2018,"feb",1214200,1156600,57600,0.047
"87","brooklyn",2018,"mar",1210600,1156900,53700,0.044
"88","brooklyn",2018,"apr",1200000,1151600,48400,0.04
"89","brooklyn",2018,"may",1194600,1149100,45500,0.038
"90","brooklyn",2018,"jun",1200400,1148100,52400,0.044
"91","brooklyn",2018,"jul",1207800,1152900,54900,0.045
"92","brooklyn",2018,"aug",1195100,1141000,54100,0.045
"93","brooklyn",2018,"sep",1194700,1146400,48300,0.04
"94","brooklyn",2018,"oct",1202700,1152600,50100,0.042
"95","brooklyn",2018,"nov",1197200,1149800,47400,0.04
"96","brooklyn",2018,"dec",1200200,1149800,50400,0.042
"97","brooklyn",2017,"jan",1207200,1144800,62400,0.052
"98","brooklyn",2017,"feb",1217700,1155800,61900,0.051
"99","brooklyn",2017,"mar",1215300,1159900,55400,0.046
"100","brooklyn",2017,"apr",1208800,1156100,52700,0.044
"101","brooklyn",2017,"may",1205800,1150900,54900,0.046
"102","brooklyn",2017,"jun",1207700,1150800,56900,0.047
"103","brooklyn",2017,"jul",1220900,1156500,64400,0.053
"104","brooklyn",2017,"aug",1212900,1147900,64900,0.054
"105","brooklyn",2017,"sep",1212200,1154500,57700,0.048
"106","brooklyn",2017,"oct",1207700,1152600,55100,0.046
"107","brooklyn",2017,"nov",1199400,1148300,51100,0.043
"108","brooklyn",2017,"dec",1195700,1146200,49500,0.041
"109","brooklyn",2016,"jan",1213700,1144700,69000,0.057
"110","brooklyn",2016,"feb",1223100,1154600,68500,0.056
"111","brooklyn",2016,"mar",1223300,1156400,66900,0.055
"112","brooklyn",2016,"apr",1211800,1151000,60800,0.05
"113","brooklyn",2016,"may",1204700,1146600,58100,0.048
"114","brooklyn",2016,"jun",1210300,1145900,64400,0.053
"115","brooklyn",2016,"jul",1223700,1152200,71500,0.058
"116","brooklyn",2016,"aug",1218500,1147500,71000,0.058
